Ano,Campeões,País
1960,Peñarol,Uruguai
1961,Peñarol,Uruguai
1962,Santos,Brasil
1963,Santos,Brasil
1964,Independiente,Argentina
1965,Independiente,Argentina
1966,Peñarol,Uruguai
1967,Racing Club,Argentina
1968,Estudiantes,Argentina
1969,Estudiantes,Argentina
1970,Estudiantes,Argentina
1971,Nacional,Uruguai
1972,Independiente,Argentina
1973,Independiente,Argentina
1974,Independiente,Argentina
1975,Independiente,Argentina
1976,Cruzeiro,Brasil
1977,Boca Juniors,Argentina
1978,Boca Juniors,Argentina
1979,Olimpia,Paraguai
1980,Nacional,Uruguai
1981,Flamengo,Brasil
1982,Peñarol,Uruguai
1983,Grêmio,Brasil
1984,Independiente,Argentina
1985,Argentino Juniors,Argentina
1986,River Plate,Argentina
1987,Peñarol,Uruguai
1988,Nacional,Uruguai
1989,Atlético Nacional,Colombia
1990,Olimpia,Paraguai
1991,Colo Colo,Paraguai
1992,São Paulo,Brasil
1993,São Paulo,Brasil
1994,Vélez,Argentina
1995,Grêmio,Brasil
1996,River Plate,Argentina
1997,Cruzeiro,Brasil
1998,Vasco,Brasil
1999,Palmeiras,Brasil
2000,Boca Juniors,Argentina
2001,Boca Juniors,Argentina
2002,Olimpia,Paraguai
2003,Boca Juniors,Argentina
2004,Once Caldas,Colombia
2005,São Paulo,Brasil
2006,Internacional,Brasil
2007,Boca Juniors,Argentina
2008,LDU,Equador
2009,Estudiantes,Argentina
2010,Internacional,Brasil
2011,Santos,Brasil
2012,Corinthians,Brasil
2013,Atlético Mineiro,Brasil
2014,San Lorenzo,Argentina
2015,River Plate,Argentina
2016,Atlético Nacional,Colombia
2017,Grêmio,Brasil
2018,River Plate,Argentina
2019,Flamengo,Brasil
2020,Palmeiras,Brasil
2021,Palmeiras,Brasil
